,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
436,ROOFTOP,"337 E 82nd St, New York, NY 10028, USA",ChIJUQL0Z7lYwokRdsTBFrA2uBo,"337 EAST 82ND STREET, Manhattan-Unknown, Manhattan, NY, USA",40.7748442,-73.9521239,1,10028,OK,premise
437,ROOFTOP,"1624 York Ave, New York, NY 10028, USA",ChIJY07qpLBYwokRbbjrUBSVNKk,"1624 YORK AVENUE, Manhattan-Unknown, Manhattan, NY, USA",40.7755344,-73.9471056,1,10028,OK,premise
438,ROOFTOP,"333 E 82nd St, New York, NY 10028, USA",ChIJD1ETXblYwokRBttqCk9PtXk,"333 EAST 82ND STREET, Manhattan-Unknown, Manhattan, NY, USA",40.7749071,-73.95222720000001,1,10028,OK,premise
439,ROOFTOP,"335 E 82nd St, New York, NY 10028, USA",ChIJO1ddXblYwokRh4hLxk8MzOY,"335 EAST 82ND STREET, Manhattan-Unknown, Manhattan, NY, USA",40.7748813,-73.95218129999999,1,10028,OK,premise
440,ROOFTOP,"1626 York Ave, New York, NY 10028, USA",ChIJ1Y-8pLBYwokRkVMHo0fdpZs,"1626 YORK AVENUE, Manhattan-Unknown, Manhattan, NY, USA",40.7755697,-73.9470826,1,10028,OK,premise
441,ROOFTOP,"221 W 17th St, New York, NY 10011, USA",ChIJXay-QLxZwokRgm5-HMKb5OU,"221-225 WEST 17TH STREET, 3AB, Manhattan-Unknown, Manhattan, NY, USA",40.741006,-73.999295,1,10011,OK,street_address
442,ROOFTOP,"1628 York Ave, New York, NY 10028, USA",ChIJqR2opLBYwokRQbx5aHr1__8,"1628 YORK AVENUE, Manhattan-Unknown, Manhattan, NY, USA",40.7756211,-73.9470367,1,10028,OK,premise
443,ROOFTOP,"5 W 51st St, New York, NY 10020, USA",ChIJ0_CyVvlYwokRrRgeDCWyAH8,"5 EAST 51ST STREET, Midtown Cbd, Manhattan, NY, USA",40.7596076,-73.9774833,2,10020,OK,street_address
444,ROOFTOP,"216 E 50th St, New York, NY 10022, USA",ChIJeYF23OJYwokRlFO2ADLzjqw,"216 EAST 50TH STREET, Midtown East, Manhattan, NY, USA",40.755334,-73.970134,1,10022,OK,street_address
445,ROOFTOP,"306 E 51st St, New York, NY 10022, USA",ChIJsfgWUuJYwokRBIBfvg2htVo,"306 EAST 51ST STREET, Midtown East, Manhattan, NY, USA",40.75515240000001,-73.9676623,1,10022,OK,premise
446,ROOFTOP,"13 Sutton Pl, New York, NY 10022, USA",ChIJFTRmW-dYwokRH0HdSHnYxcQ,"13 SUTTON PLACE, Midtown East, Manhattan, NY, USA",40.7576908,-73.9601713,1,10022,OK,premise
447,ROOFTOP,"4 Sutton Square, New York, NY 10022, USA",ChIJBc_SXudYwokRPlVgAFRJAqU,"4 SUTTON SQUARE, Midtown East, Manhattan, NY, USA",40.7577256,-73.9598728,1,10022,OK,premise
